|event_index|time|seconds_elapsed|game_id|event|event_description|period|event_p1|event_p1_name|event_p2|event_p2_name|event_p3|event_p3_name|event_team|x_coord|y_coord|away_goalie|away_goalie_name|home_goalie|home_goalie_name|away_score|home_score|home_team_id|home_team|away_team_id|away_team
0|1|0:00|0|18507472|Faceoff|Faceoff Won |1|18800502.0|Kelly Babstock|20768963.0|Erika  Lawler|0.0||2840763.0|49.48|50.4|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
1|2|0:35|35|18507472|Shot|Shot |1|18800502.0|Kelly Babstock|0.0||0.0||2840763.0|17.66|55.24|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
2|3|1:20|80|18507472|Shot|Shot |1|18800543.0|Bray Ketchum|0.0||0.0||2840764.0|90.98|60.89|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
3|4|1:42|102|18507472|Shot|Shot |1|20460180.0|Kaycie Anderson|0.0||0.0||2840763.0|11.14|72.98|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
4|5|2:07|127|18507472|BlockedShot|Blocked Shot |1|18800597.0|Shannon Doyle|0.0||0.0||2840763.0|88.21|59.27|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
5|6|3:17|197|18507472|BlockedShot|Blocked Shot |1|18800586.0|Elena Orlando|0.0||0.0||2840763.0|88.61|64.52|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
6|7|3:17|197|18507472|Penalty|Penalty   |1|21022025.0|Jamie Goldsmith|0.0||0.0||2840763.0|65.09|97.18|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
7|8|3:17|197|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|19583893.0|Stephanie  Mock|0.0||2840764.0|83.07|75.0|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
8|9|3:40|220|18507472|BlockedShot|Blocked Shot |1|20038222.0|Emily Fluke|0.0||0.0||2840763.0|78.92|47.18|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
9|10|3:42|222|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|18800502.0|Kelly Babstock|0.0||2840764.0|83.07|27.42|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
10|11|4:22|262|18507472|Faceoff|Faceoff Won |1|19583893.0|Stephanie  Mock|20768963.0|Erika  Lawler|0.0||2840763.0|83.27|73.79|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
11|12|4:26|266|18507472|Penalty|Penalty   |1|18800597.0|Shannon Doyle|0.0||0.0||2840763.0|96.12|75.81|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
12|13|4:26|266|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|18800629.0|Juana Baribeau|0.0||2840764.0|83.47|26.21|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
13|14|4:50|290|18507472|Shot|Shot |1|18800530.0|Alexa Gruschow|0.0||0.0||2840764.0|88.01|45.16|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
14|15|5:00|300|18507472|Shot|Shot |1|18800564.0|Rebecca Russo|0.0||0.0||2840764.0|86.43|39.52|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
15|16|6:17|377|18507472|Faceoff|Faceoff Won |1|18800559.0|Tatiana Rafter|19583893.0|Stephanie  Mock|0.0||2840764.0|38.01|26.21|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
16|17|6:43|403|18507472|Shot|Shot |1|19571957.0|Rachael Ade|0.0||0.0||2840763.0|43.74|82.66|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
17|18|6:43|403|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|21022025.0|Jamie Goldsmith|0.0||2840764.0|15.88|73.39|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
18|19|6:57|417|18507472|Faceoff|Faceoff Won |1|21022025.0|Jamie Goldsmith|18800530.0|Alexa Gruschow|0.0||2840763.0|62.12|72.18|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
19|20|7:04|424|18507472|Shot|Shot |1|18800597.0|Shannon Doyle|0.0||0.0||2840763.0|32.08|17.34|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
20|21|7:04|424|18507472|Faceoff|Faceoff Won |1|20768963.0|Erika  Lawler|18800502.0|Kelly Babstock|0.0||2840764.0|16.27|27.82|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
21|22|7:39|459|18507472|Shot|Shot |1|21781999.0|Lauren Wash|0.0||0.0||2840764.0|90.19|47.18|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
22|23|8:07|487|18507472|Faceoff|Faceoff Won |1|18800559.0|Tatiana Rafter|19583893.0|Stephanie  Mock|0.0||2840764.0|82.68|74.19|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
23|24|8:11|491|18507472|Shot|Shot |1|18800514.0|Kiira Dosdall|0.0||0.0||2840764.0|72.0|92.34|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
24|25|8:47|527|18507472|Shot|Shot |1|18800555.0|Michelle Picard|0.0||0.0||2840764.0|82.28|46.77|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
25|26|9:02|542|18507472|Shot|Shot |1|18800530.0|Alexa Gruschow|0.0||0.0||2840764.0|91.57|43.15|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
26|27|9:04|544|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|21022025.0|Jamie Goldsmith|0.0||2840764.0|83.27|27.82|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
27|28|9:26|566|18507472|Turnover|Turnover |1|21030324.0|Grace Klienbach|0.0||0.0||2840763.0|48.29|70.56|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
28|29|10:20|620|18507472|Shot|Shot |1|19571957.0|Rachael Ade|0.0||0.0||2840763.0|33.47|70.97|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
29|30|10:32|632|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|21022025.0|Jamie Goldsmith|0.0||2840764.0|38.01|74.19|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
30|31|11:01|661|18507472|Faceoff|Faceoff Won |1|20768963.0|Erika  Lawler|18800502.0|Kelly Babstock|0.0||2840764.0|83.47|74.19|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
31|32|11:55|715|18507472|BlockedShot|Blocked Shot |1|19571957.0|Rachael Ade|0.0||0.0||2840763.0|87.22|64.11|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
32|33|12:16|736|18507472|Goal|Goal (even strength)  |1|20460180.0|Kaycie Anderson|0.0||0.0||2840763.0|7.97|60.89|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
33|34|12:16|736|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|21022025.0|Jamie Goldsmith|0.0||2840764.0|49.87|50.81|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
34|35|12:54|774|18507472|Faceoff|Faceoff Won |1|18800502.0|Kelly Babstock|18800530.0|Alexa Gruschow|0.0||2840763.0|16.27|72.98|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
35|36|13:06|786|18507472|BlockedShot|Blocked Shot |1|18800534.0|Ashley Johnston|0.0||0.0||2840764.0|18.05|37.1|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
36|38|13:18|798|18507472|Penalty|Penalty   |1|18800541.0|Sam Faber|0.0||0.0||2840763.0|8.37|89.52|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
37|38|13:18|798|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|21022025.0|Jamie Goldsmith|0.0||2840764.0|83.07|72.58|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
38|39|13:56|836|18507472|Goal|Goal (power play)  |1|19584387.0|Jenny Ryan|18800530.0|Alexa Gruschow|18800501.0|Courtney Burke|2840764.0|77.74|86.29|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
39|40|13:56|836|18507472|Faceoff|Faceoff Won |1|20768963.0|Erika  Lawler|19583893.0|Stephanie  Mock|0.0||2840764.0|49.87|49.6|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
40|41|14:35|875|18507472|Shot|Shot |1|19584387.0|Jenny Ryan|0.0||0.0||2840764.0|66.87|29.03|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
41|42|14:52|892|18507472|Faceoff|Faceoff Won |1|18800530.0|Alexa Gruschow|19583893.0|Stephanie  Mock|0.0||2840764.0|83.66|27.02|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
42|43|15:43|943|18507472|Shot|Shot |1|18800559.0|Tatiana Rafter|0.0||0.0||2840764.0|84.85|64.52|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
43|44|16:24|984|18507472|Faceoff|Faceoff Won |1|20768963.0|Erika  Lawler|18800502.0|Kelly Babstock|0.0||2840764.0|83.07|72.58|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
44|45|16:45|1005|18507472|Turnover|Turnover |1|18800555.0|Michelle Picard|0.0||0.0||2840764.0|68.05|86.29|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
45|46|16:50|1010|18507472|Shot|Shot |1|18800629.0|Juana Baribeau|0.0||0.0||2840763.0|11.14|52.42|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
46|48|17:09|1029|18507472|BlockedShot|Blocked Shot |1|18800501.0|Courtney Burke|0.0||0.0||2840764.0|14.89|64.92|18800592.0|Katie  Fitzgerald|18801447.0|Sydney Rossman|0|0|1576030|Connecticut Whale|1576032|Metropolitan Riveters
